nm,P09,P06,P19,P21,F07,T01-1,T01-2
1274,4.230769231,4.017546688,3.854890083,2.815935515,4.165915239,3.675832862,3.358280802
1273,4.230769231,4.018682986,3.858281189,2.815604224,4.169747235,3.674130452,3.353060178
1272,4.230769231,4.020744337,3.859035791,2.820672795,4.168479856,3.673008133,3.359140407
1271,4.230769231,4.025185349,3.860170238,2.821299286,4.169819413,3.675631395,3.364802208
1270,4.146153846,4.027492926,3.862437592,2.82371023,4.175180668,3.682930662,3.366470451
1269,4.230769231,4.03064607,3.860178204,2.82124743,4.180074551,3.685364333,3.371513165
1268,4.230769231,4.036711519,3.856033301,2.81755142,4.180869565,3.682753741,3.378396601
1267,4.146153846,4.039102559,3.851509212,2.814680517,4.183156349,3.696314076,3.385136653
1266,4.230769231,4.038597834,3.850755198,2.813868184,4.183306962,3.707588771,3.39221683
1265,4.175824176,3.991573723,3.800745829,2.777468106,4.130845771,3.661941479,3.346986178
1264,4.230769231,4.046604107,3.853023165,2.81003141,4.186543028,3.707770263,3.38472539
1263,4.092307692,3.996703886,3.804103269,2.770079513,4.134269218,3.658161259,3.341470574
1262,4.175824176,3.998254746,3.808955224,2.770895522,4.135749887,3.654804307,3.337822449
1261,4.230769231,4.051762269,3.863609584,2.807354674,4.19293971,3.700058484,3.392132611
1260,4.222222222,3.99871099,3.811937954,2.772589829,4.146002948,3.655256522,3.347373033
1259,4.175824176,3.998589905,3.812309807,2.774555806,4.150470788,3.657508127,3.350646935
1258,4.175824176,4.003077798,3.807459757,2.778759325,4.153528477,3.658712503,3.354282552
1257,4.222222222,4.007133125,3.802983317,2.780451423,4.15800227,3.660421719,3.353154082
1256,4.175824176,4.011902973,3.802611684,2.783308787,4.159500284,3.666440773,3.351535409
1255,4.175824176,4.016983987,3.803358539,2.783855445,4.161226576,3.664259146,3.351311271
1254,4.222222222,4.025851894,3.802239686,2.783929273,4.160754031,3.657250271,3.352001991
1253,4.222222222,4.031271953,3.802614251,2.781562654,4.16060916,3.65308516,3.352752061
1252,4.137777778,4.034106624,3.80523313,2.781034822,4.161246304,3.644970142,3.354469453
1251,4.222222222,4.041279214,3.807480315,2.781181102,4.163613608,3.644143048,3.356452381
1250,4.222222222,4.042122775,3.8071056,2.783151265,4.165201549,3.646648974,3.35465597
1249,4.222222222,4.043894166,3.804113768,2.786143096,4.167183227,3.654335019,3.359418157
1248,4.137777778,4.045382806,3.800373905,2.785594805,4.169167617,3.657707793,3.360784522
1247,4.222222222,4.047600287,3.795141143,2.782256319,4.169896154,3.662186649,3.363548904
1246,4.137777778,4.047759165,3.789535799,2.778245476,4.171885349,3.672421875,3.359098578
1245,4.222222222,4.051901423,3.790277504,2.773902775,4.170149595,3.673015288,3.367397311
1244,4.222222222,4.053042234,3.790269844,2.776836715,4.171493833,3.668642316,3.368187049
1243,4.222222222,4.055664865,3.791013007,2.777729602,4.175833714,3.669049415,3.3688925
1242,4.222222222,4.05754758,3.792880387,2.780396411,4.17774223,3.66505655,3.366511622
1241,4.222222222,4.057839514,3.794378144,2.779445705,4.182649446,3.663495947,3.364523524
1240,4.222222222,4.061483899,3.796250247,2.783816854,4.188428996,3.676070861,3.364322072
1239,4.137777778,4.06206378,3.796250247,2.781567002,4.192084191,3.681276098,3.363885411
1238,4.222222222,4.067972862,3.794374815,2.781841508,4.195262616,3.678203826,3.368293868
1237,4.137777778,4.07449483,3.795121951,2.778986867,4.198741275,3.682968628,3.372172942
1236,4.137777778,4.077641842,3.793622273,2.774686544,4.201144951,3.691519281,3.374888867
1235,4.083333333,4.023894141,3.745555994,2.738248074,4.151110857,3.651144814,3.33495087
1234,4.166666667,4.024954467,3.74777624,2.741154378,4.153780069,3.654036603,3.344074192
1233,4.083333333,4.024044138,3.747035573,2.740612648,4.156543663,3.654426562,3.350493603
1232,4.166666667,4.025121943,3.742961573,2.740541341,4.155010319,3.659478953,3.352918982
1231,4.166666667,4.031672384,3.74518233,2.740883487,4.159114374,3.666695789,3.357315497
1230,4.213483146,4.033223396,3.745549842,2.742780854,4.15882488,3.667595055,3.352050784
1229,4.166666667,4.038759288,3.745548081,2.742382271,4.160640496,3.672882652,3.35578917
1228,4.166666667,4.039204783,3.747030291,2.745495941,4.159584243,3.67035796,3.361493965
1227,4.213483146,4.038348079,3.749257279,2.746583482,4.161112388,3.669207177,3.364033718
1226,4.166666667,4.040894035,3.748885808,2.749083886,4.166666667,3.672040313,3.365112195
1225,4.166666667,4.039857959,3.750742721,2.749554367,4.17347761,3.666367227,3.366628467
1224,4.213483146,4.045786172,3.750742427,2.752177787,4.17674499,3.661368969,3.36255316
1223,4.213483146,4.050599894,3.750371397,2.749826681,4.177707373,3.656471645,3.353220397
1222,4.213483146,4.056261508,3.747028526,2.74489897,4.178954038,3.650764784,3.346663521
1221,4.213483146,4.058242305,3.742199108,2.744427935,4.184619816,3.655948299,3.339471143
1220,4.213483146,4.062928515,3.740707701,2.744573298,4.183273816,3.659560629,3.342195975
1219,4.213483146,4.062035762,3.739960337,2.743430838,4.184337905,3.667033037,3.352185465
1218,4.213483146,4.064141212,3.73810232,2.742415229,4.184055799,3.669366222,3.361035692
1217,4.213483146,4.07017053,3.741445998,2.741743529,4.190413013,3.676893084,3.374705545
1216,4.213483146,4.076280973,3.745163211,2.74283163,4.194460473,3.683431298,3.383118663
1215,4.213483146,4.081976549,3.747767857,2.741815476,4.199099203,3.688011999,3.380969403
1214,4.213483146,4.087459938,3.751116404,2.741887467,4.203258609,3.688311816,3.378414421
1213,4.157303371,4.031761375,3.703306524,2.705471155,4.15036412,3.645382714,3.32545023
1212,4.213483146,4.086371351,3.752608048,2.742921013,4.211865387,3.692393397,3.363909655
1211,4.213483146,4.084069098,3.751491054,2.744284294,4.215930125,3.692485357,3.365538122
1210,4.213483146,4.08826597,3.750745379,2.749701849,4.220106494,3.692210708,3.368953014
1209,4.129213483,4.092038728,3.753356539,2.750124316,4.2230395,3.694673722,3.370662043
1208,4.157303371,4.042314572,3.702576345,2.713995822,4.165392634,3.642209427,3.324898902
1207,4.157303371,4.050380886,3.705522938,2.714339735,4.164427976,3.644852844,3.326784868
1206,4.157303371,4.055230843,3.708839339,2.71588692,4.164320445,3.64137141,3.33567691
1205,4.157303371,4.06002666,3.711053575,2.715494921,4.160787037,3.642255698,3.340540467
1204,4.157303371,4.063286995,3.708473564,2.71301404,4.16271422,3.644174079,3.343027266
1203,4.157303371,4.065797956,3.709953173,2.710212215,4.165932282,3.64124968,3.343354173
1202,4.157303371,4.06633775,3.710694707,2.710555168,4.171034003,3.643542434,3.34568672
1201,4.157303371,4.068940159,3.710692576,2.709277529,4.175394981,3.646675888,3.339025171
1200,4.157303371,4.07707789,3.713644972,2.710555168,4.180402185,3.642954825,3.334568917
1199,4.157303371,4.08269692,3.714749851,2.711760016,4.184067915,3.649276835,3.33548502
1198,4.204545455,4.084084907,3.717329347,2.712227205,4.183581395,3.660488673,3.339929567
1197,4.204545455,4.083796941,3.717699821,2.713235001,4.183955354,3.671282942,3.341206344
1196,4.157303371,4.0876679,3.715120104,2.716455696,4.184703011,3.675632579,3.353476288
1195,4.157303371,4.088153907,3.716234543,2.717810132,4.188257179,3.67500875,3.36436779
1194,4.157303371,4.086372002,3.711809296,2.718352284,4.193878739,3.672785911,3.365269
1193,4.204545455,4.091161477,3.716989419,2.720523058,4.196436059,3.658235751,3.364406573
1192,4.204545455,4.097128487,3.721071036,2.723708662,4.199254253,3.648516418,3.364479207
1191,4.204545455,4.101586317,3.724037981,2.724797601,4.201585266,3.64339722,3.360962401
1190,4.204545455,4.105192186,3.722182254,2.719544365,4.204663092,3.650344434,3.367347741
1189,4.204545455,4.106625189,3.720331701,2.714836647,4.204643566,3.657461319,3.369037742
1188,4.147727273,4.046623949,3.670048936,2.674163587,4.143933738,3.620183752,3.323728432
1187,4.147727273,4.046267792,3.666753143,2.673218918,4.140158675,3.630175163,3.322660832
1186,4.147727273,4.043919639,3.666027944,2.674481038,4.139306965,3.631353657,3.323291548
1185,4.147727273,4.049400686,3.666393852,2.674019363,4.144049008,3.635314122,3.332103022
1184,4.147727273,4.05106417,3.672602877,2.670785058,4.149877408,3.638619527,3.341261418
1183,4.147727273,4.055491683,3.675172414,2.669735132,4.162407949,3.638270376,3.345084472
1182,4.147727273,4.06261893,3.675922777,2.671141342,4.167282507,3.640828104,3.350325497
1181,4.147727273,4.066513629,3.675570456,2.673208567,4.173502574,3.648097996,3.353319337
1180,4.147727273,4.067039919,3.674118943,2.676471766,4.181196581,3.65454441,3.352206675
1179,4.147727273,4.067055872,3.673751126,2.67547302,4.181320998,3.647008795,3.34493354
1178,4.147727273,4.072563948,3.674128606,2.676081731,4.176923077,3.643328722,3.338783075
